model,period,n,frauds,prevalence,average_precision,roc_auc,precision,recall,alert_rate,precision_at_daily_budget,recall_at_daily_budget,settled_fraud_value_capture,brier_score,seed,scenario
boosting_no_network,post_shift,7202,104,0.01444043321299639,0.07111659181038765,0.7003049342176562,0.0846774193548387,0.20192307692307693,0.03443487920022216,0.08888888888888889,0.19230769230769232,0.28384112449197824,0.014554855133816276,22,full
isolation_forest,all_test,8706,115,0.013209280955662761,0.02466288343279047,0.6644668586437779,0.03665987780040733,0.1565217391304348,0.056397886515047096,0.04285714285714286,0.10434782608695652,0.05005464836476416,,22,full
isolation_forest,pre_shift,1504,11,0.007313829787234043,0.0395487380137417,0.8344395055714546,0.06521739130434782,0.2727272727272727,0.030585106382978722,0.07692307692307693,0.36363636363636365,0.4377631664183455,,22,full
isolation_forest,post_shift,7202,104,0.01444043321299639,0.02427056488991574,0.6397603875414527,0.033707865168539325,0.14423076923076922,0.06178839211330186,0.03508771929824561,0.07692307692307693,0.01108899352694448,,22,full
behaviour_rule,all_test,8706,115,0.013209280955662761,0.12138915061848142,0.7425779253313629,0.11246200607902736,0.3217391304347826,0.03779002986446129,0.125,0.30434782608695654,0.3940982724017624,,22,full
behaviour_rule,pre_shift,1504,11,0.007313829787234043,0.36187760369134064,0.9453814771966145,0.1836734693877551,0.8181818181818182,0.032579787234042555,0.14814814814814814,0.7272727272727273,0.9080617995724558,,22,full
behaviour_rule,post_shift,7202,104,0.01444043321299639,0.09903516312632363,0.7150294232394824,0.1,0.2692307692307692,0.03887808941960567,0.11946902654867257,0.25961538461538464,0.34244368018515836,,22,full
logistic,all_test,8134,126,0.01549053356282272,0.249021553601613,0.8392817499960356,0.17378048780487804,0.4523809523809524,0.0403245635603639,0.18214285714285713,0.40476190476190477,0.5319120348385624,0.014627756768361212,33,full
logistic,pre_shift,1315,29,0.022053231939163497,0.8534419693408073,0.9946103930927227,0.54,0.9310344827586207,0.03802281368821293,0.48214285714285715,0.9310344827586207,0.9528427249601905,0.007379679648614355,33,full
logistic,post_shift,6819,97,0.014224959671506086,0.08246931261175817,0.7847259498737797,0.1079136690647482,0.30927835051546393,0.04076844112039889,0.10714285714285714,0.24742268041237114,0.23689256560565386,0.016025501512820388,33,full
boosting,all_test,8134,126,0.01549053356282272,0.2172460330211687,0.8192164977879264,0.13349514563106796,0.4365079365079365,0.05065158593557905,0.16785714285714284,0.373015873015873,0.4599148546123179,0.016822677150797067,33,full
boosting,pre_shift,1315,29,0.022053231939163497,0.8053974926259215,0.9931088110688047,0.5,0.896551724137931,0.03954372623574144,0.49056603773584906,0.896551724137931,0.887099475831757,0.009136205484800581,33,full
boosting,post_shift,6819,97,0.014224959671506086,0.06710885725974539,0.7576399390215848,0.08055555555555556,0.29896907216494845,0.05279366476022877,0.09251101321585903,0.21649484536082475,0.16051216629751666,0.018304963445090274,33,full
boosting_static,all_test,8134,126,0.01549053356282272,0.13860932519519636,0.8347005177362321,0.16600790513833993,0.3333333333333333,0.031104007868207523,0.16071428571428573,0.35714285714285715,0.5341511045340931,0.014756783227816078,33,full
boosting_static,pre_shift,1315,29,0.022053231939163497,0.6070849279862263,0.9743390357698289,0.5526315789473685,0.7241379310344828,0.028897338403041824,0.42857142857142855,0.8275862068965517,0.9008614047351576,0.01441887487532479,33,full
boosting_static,post_shift,6819,97,0.014224959671506086,0.07482717483517945,0.7903023461966707,0.09767441860465116,0.21649484536082475,0.03152954978735885,0.09375,0.21649484536082475,0.2771333088102934,0.014821946665787341,33,full
boosting_no_network,all_test,8134,126,0.01549053356282272,0.19362661658058247,0.8319542560613988,0.16723549488054607,0.3888888888888889,0.03602163757069093,0.17857142857142858,0.3968253968253968,0.491940085329446,0.013808925856658648,33,full
boosting_no_network,pre_shift,1315,29,0.022053231939163497,0.8078572628005131,0.9946103930927228,0.5306122448979592,0.896551724137931,0.037262357414448666,0.4827586206896552,0.9655172413793104,0.9008614047351576,0.010234730666790483,33,full
boosting_no_network,post_shift,6819,97,0.014224959671506086,0.07078123069158872,0.7762632009987209,0.0942622950819672,0.23711340206185566,0.03578237278193284,0.0990990990990991,0.2268041237113402,0.20533767443316558,0.014498186257696428,33,full
isolation_forest,all_test,8134,126,0.01549053356282272,0.08424418930164866,0.7971889221889221,0.0938337801608579,0.2777777777777778,0.045856896975657736,0.12857142857142856,0.2857142857142857,0.3357960339109084,,33,full
isolation_forest,pre_shift,1315,29,0.022053231939163497,0.4598237453238674,0.9547112136000429,0.40476190476190477,0.5862068965517241,0.03193916349809886,0.39622641509433965,0.7241379310344828,0.7189033337278926,,33,full
isolation_forest,post_shift,6819,97,0.014224959671506086,0.05162152453701811,0.7482293868111173,0.054380664652567974,0.18556701030927836,0.04854084176565479,0.06607929515418502,0.15463917525773196,0.06728600386629204,,33,full
behaviour_rule,all_test,8134,126,0.01549053356282272,0.17417002311900232,0.8268358625501483,0.16778523489932887,0.3968253968253968,0.03663634128350135,0.16428571428571428,0.36507936507936506,0.5339596838613967,,33,full
behaviour_rule,pre_shift,1315,29,0.022053231939163497,0.8150391367244192,0.990775996138789,0.52,0.896551724137931,0.03802281368821293,0.49056603773584906,0.896551724137931,0.9528427249601905,,33,full
behaviour_rule,post_shift,6819,97,0.014224959671506086,0.061493412564927276,0.7720287592364816,0.0967741935483871,0.24742268041237114,0.03636896905704649,0.0881057268722467,0.20618556701030927,0.24037535904078391,,33,full
logistic,all_test,8517,230,0.027004813901608547,0.1995191424306174,0.7712582830100577,0.19825072886297376,0.2956521739130435,0.04027239638370318,0.225,0.27391304347826084,0.4461836706798206,0.024944585336789275,44,full
logistic,pre_shift,1546,25,0.016170763260025874,0.6771764158321101,0.9821433267587113,0.3392857142857143,0.76,0.03622250970245795,0.3584905660377358,0.76,0.9017558905027692,0.008315269721336706,44,full
logistic,post_shift,6971,205,0.029407545545832737,0.14751504348715222,0.7392493313050187,0.17073170731707318,0.23902439024390243,0.04117056376416583,0.19383259911894274,0.2146341463414634,0.2499460637394669,0.02863256725351423,44,full
boosting,all_test,8517,230,0.027004813901608547,0.15646251615584866,0.7324993048305098,0.19682539682539682,0.26956521739130435,0.03698485382176823,0.225,0.27391304347826084,0.424101922104747,0.025112642608906232,44,full
