scenario,model,period,metric,n_seeds,mean,standard_error,ci95_low,ci95_high
full,behaviour_rule,all_test,average_precision,5,0.1493165427193199,0.017051292220272195,0.10197456589704795,0.19665851954159186
full,behaviour_rule,all_test,precision_at_daily_budget,5,0.14642857142857144,0.01396971943971996,0.10764241226917448,0.1852147305879684
full,behaviour_rule,all_test,recall_at_daily_budget,5,0.30539346800216366,0.02415034388660149,0.2383413639293655,0.3724455720749618
full,behaviour_rule,post_shift,average_precision,5,0.08547463365105025,0.0168052810672626,0.038815693290375854,0.13213357401172465
full,behaviour_rule,post_shift,precision_at_daily_budget,5,0.10750508349195395,0.0168893141315507,0.06061282994126209,0.1543973370426458
full,behaviour_rule,post_shift,recall_at_daily_budget,5,0.21436318472155347,0.018876799544238803,0.1619527870251517,0.26677358241795524
full,behaviour_rule,pre_shift,average_precision,5,0.5927086928956766,0.07479823125219526,0.38503550985806645,0.8003818759332868
full,behaviour_rule,pre_shift,precision_at_daily_budget,5,0.31141485143704906,0.0547500060720833,0.1594044650686639,0.4634252378054342
full,behaviour_rule,pre_shift,recall_at_daily_budget,5,0.7289028213166144,0.05544801498288998,0.5749544515244356,0.8828511911087933
full,boosting,all_test,average_precision,5,0.13379502954929604,0.029465919360985745,0.05198452196933427,0.21560553712925778
full,boosting,all_test,precision_at_daily_budget,5,0.1414285714285714,0.026259109206645426,0.0685215962049264,0.2143355466522164
full,boosting,all_test,recall_at_daily_budget,5,0.28430940257027215,0.03353276472458285,0.19120752208695485,0.37741128305358945
full,boosting,post_shift,average_precision,5,0.07452802514609555,0.0198135200294395,0.01951687444361981,0.12953917584857128
full,boosting,post_shift,precision_at_daily_budget,5,0.10606510628768917,0.027292688410708317,0.030288455142089526,0.18184175743328881
full,boosting,post_shift,recall_at_daily_budget,5,0.203506719347981,0.023913056329175522,0.1371134311525225,0.2699000075434395
full,boosting,pre_shift,average_precision,5,0.5251854626207914,0.09447970787677241,0.26286774014580916,0.7875031850957736
full,boosting,pre_shift,precision_at_daily_budget,5,0.2975567500588009,0.06003378108351824,0.13087625242295078,0.464237247694651
full,boosting,pre_shift,recall_at_daily_budget,5,0.6618495297805642,0.07111269202077063,0.4644090441020574,0.859290015459071
full,boosting_no_network,all_test,average_precision,5,0.1441321721697568,0.021966735427883865,0.08314273711383369,0.2051216072256799
full,boosting_no_network,all_test,precision_at_daily_budget,5,0.14785714285714285,0.022548134453806563,0.0852534853215299,0.2104608003927558
full,boosting_no_network,all_test,recall_at_daily_budget,5,0.30217745696006565,0.03265799569896734,0.2115043246560972,0.3928505892640341
full,boosting_no_network,post_shift,average_precision,5,0.08315507678435306,0.015929056055671752,0.03892892706816196,0.12738122650054418
full,boosting_no_network,post_shift,precision_at_daily_budget,5,0.11118458230073476,0.02213196005570141,0.04973641013564949,0.17263275446582002
full,boosting_no_network,post_shift,recall_at_daily_budget,5,0.21637800948605515,0.01573219223120712,0.17269844137168938,0.2600575776004209
full,boosting_no_network,pre_shift,average_precision,5,0.5836795079636593,0.07184033219229662,0.3842187692925739,0.7831402466347447
